city_id;city_name;city_name_ascii;lat;long;population_number;country_id
1;Aībak;Aibak;36.2534;68.0394;4938;1
2;Andkhōy;Andkhoy;36.95;65.1167;13137;1
3;Asadābād;Asadabad;34.8742;71.1528;48400;1
4;Baghlān;Baghlan;36.1328;68.7;39228;1
5;Balkh;Balkh;36.7581;66.8989;77000;1
6;Bāmyān;Bamyan;34.8167;67.8167;61863;1
7;Barakī Barak;Baraki Barak;33.9667;68.9667;22305;1
8;Bāzārak;Bazarak;35.3129;69.5152;;1
9;Chārīkār;Charikar;35.0183;69.1679;53676;1
10;Faīẕābād;Faizabad;37.1298;70.5792;64704;1
11;Farāh;Farah;32.3436;62.1194;73647;1
12;Fayrōz Kōh;Fayroz Koh;34.5225;65.2517;15000;1
13;Gardēz;Gardez;33.5931;69.2297;103601;1
14;Ghaznī;Ghazni;33.5492;68.4233;143379;1
15;Herāt;Herat;34.3738;62.1792;436300;1
16;Jalālābād;Jalalabad;34.4303;70.4528;205423;1
17;Kabul;Kabul;34.5328;69.1658;3678034;1
18;Kandahār;Kandahar;31.6078;65.7053;491500;1
19;Karukh;Karukh;34.4868;62.5918;17484;1
20;Khānābād;Khanabad;36.6831;69.1636;26803;1
21;Khōst;Khost;33.3333;69.9167;160214;1
22;Khulm;Khulm;36.6833;67.6833;28078;1
23;Kōṯah-ye ‘As̲h̲rō;Kotah-ye `Ashro;34.45;68.8;35008;1
24;Kunduz;Kunduz;36.728;68.8725;259809;1
25;Lashkar Gāh;Lashkar Gah;31.5938;64.3716;201546;1
26;Maḩmūd-e Rāqī;Mahmud-e Raqi;35.0167;69.3333;7407;1
27;Maīdān Shahr;Maidan Shahr;34.3972;68.8697;35008;1
28;Maīmanah;Maimanah;35.9302;64.7701;199795;1
29;Mazār-e Sharīf;Mazar-e Sharif;36.7;67.1167;427600;1
30;Mehtar Lām;Mehtar Lam;34.65;70.1833;17345;1
31;Nīlī;Nili;33.7218;66.1302;;1
32;Pārūn;Parun;35.4206;70.9226;;1
33;Pul-e ‘Alam;Pul-e `Alam;33.9953;69.0227;;1
34;Pul-e Khumrī;Pul-e Khumri;35.95;68.7;113500;1
35;Qal‘ah-ye Now;Qal`ah-ye Now;34.99;63.12;5340;1
36;Qal‘ah-ye Zāl;Qal`ah-ye Zal;37.015;68.4672;18000;1
37;Qalāt;Qalat;32.1061;66.9069;12191;1
38;Sar-e Pul;Sar-e Pul;36.2214;65.9278;51075;1
39;Sharan;Sharan;33.1757;68.7304;;1
40;Shibirghān;Shibirghan;36.665;65.752;175599;1
41;Tāluqān;Taluqan;36.7167;69.5167;77000;1
42;Tarīn Kōṯ;Tarin Kot;32.6333;65.8667;10000;1
43;Zaranj;Zaranj;30.96;61.86;49851;1
44;Zarghūn Shahr;Zarghun Shahr;32.85;68.4167;13737;1
45;Bajram Curri;Bajram Curri;42.3582;20.076;5340;2
46;Ballsh;Ballsh;40.5991;19.7359;7657;2
47;Belsh;Belsh;40.9833;19.8833;8781;2
48;Berat;Berat;40.7049;19.9497;36496;2
49;Bilisht;Bilisht;40.6275;20.99;7114;2
50;Bulqizë;Bulqize;41.5;20.2167;8177;2
51;Burrel;Burrel;41.6;20;10862;2
52;Cërrik;Cerrik;41.0333;19.9833;6695;2
53;Çorovodë;Corovode;40.5042;20.2272;4051;2
54;Delvinë;Delvine;39.9494;20.0958;5754;2
55;Divjakë;Divjake;40.9964;19.5327;8445;2
56;Durrës;Durres;41.3167;19.45;142432;2
57;Elbasan;Elbasan;41.1125;20.0822;78703;2
58;Ersekë;Erseke;40.3333;20.6833;3746;2
59;Fier;Fier;40.7167;19.55;120655;2
60;Fushë-Krujë;Fushe-Kruje;41.4833;19.7167;18477;2
61;Gjirokastër;Gjirokaster;40.0758;20.1389;25301;2
62;Gramsh;Gramsh;40.8667;20.1833;8440;2
63;Kamëz;Kamez;41.3833;19.7667;126777;2
64;Kavajë;Kavaje;41.1833;19.55;29354;2
65;Korçë;Korce;40.6167;20.7667;51152;2
66;Krujë;Kruje;41.5178;19.7978;11721;2
67;Krumë;Krume;42.1961;20.4146;6006;2
68;Kuçovë;Kucove;40.8039;19.9144;12654;2
69;Kukës;Kukes;42.0758;20.4231;16719;2
70;Laç;Lac;41.6353;19.7131;17086;2
71;Lezhë;Lezhe;41.7805;19.6434;15510;2
72;Librazhd;Librazhd;41.1833;20.3167;6937;2
73;Lushnjë;Lushnje;40.9333;19.7;31105;2
74;Mamurras;Mamurras;41.5775;19.6922;8282;2
75;Patos;Patos;40.6841;19.6194;15397;2
76;Peqin;Peqin;41.05;19.75;6353;2
77;Përmet;Permet;40.2333;20.35;5945;2
78;Përrenjas;Perrenjas;41.0667;20.55;5847;2
79;Peshkopi;Peshkopi;41.6831;20.4289;13251;2
80;Pogradec;Pogradec;40.9;20.65;20848;2
81;Pukë;Puke;42.05;19.9;3607;2
82;Roskovec;Roskovec;40.7375;19.7022;6657;2
83;Rrëshen;Rreshen;41.7667;19.8833;8803;2
84;Rrogozhinë;Rrogozhine;41.0761;19.6667;7049;2
85;Sarandë;Sarande;39.8833;20.0167;41000;2
86;Shëngjin;Shengjin;41.8136;19.5939;8091;2
87;Shijak;Shijak;41.3456;19.5672;7568;2
88;Shkodër;Shkoder;42.0667;19.5;112276;2
89;Sukth;Sukth;41.3833;19.5333;15966;2
90;Tepelenë;Tepelene;40.3;20.0167;4342;2
91;Tirana;Tirana;41.33;19.82;418495;2
92;Vau i Dejës;Vau i Dejes;42;19.6333;8117;2
93;Vlorë;Vlore;40.45;19.4833;130827;2
94;Vorë;Vore;41.3939;19.6544;10901;2
95;Abadla;Abadla;31.0171;-2.7333;14364;3
96;Adrar;Adrar;27.8742;-0.2939;56910;3
97;Aïn Defla;Ain Defla;36.2641;1.9679;;3
98;Aïn Sefra;Ain Sefra;32.7604;-0.5799;63420;3
99;Aïn Temouchent;Ain Temouchent;35.2975;-1.1404;;3
100;Algiers;Algiers;36.7764;3.0586;3415811;3
101;Annaba;Annaba;36.9;7.7667;257359;3
102;Batna;Batna;35.55;6.1667;290645;3
103;Béchar;Bechar;31.6111;-2.23;143382;3
104;Bejaïa;Bejaia;36.75;5.0667;176139;3
105;Beni Ounif;Beni Ounif;32.0493;-1.2514;5628;3
106;Biskra;Biskra;34.85;5.7333;204661;3
107;Blida;Blida;36.4722;2.8333;331779;3
108;Bordj Bou Arreridj;Bordj Bou Arreridj;36.0667;4.7667;168346;3
109;Bordj Mokhtar;Bordj Mokhtar;21.3289;0.9542;16437;3
110;Bouira;Bouira;36.3783;3.8925;68545;3
111;Boumerdes;Boumerdes;36.7594;3.4728;41685;3
112;Chlef;Chlef;36.1647;1.3317;155134;3
449;Villa Adelina;Villa Adelina;-34.5175;-58.5475;35307;8
