stores_id;product_id;range
10001;300001;R
10001;300002;R
10001;300003;R
10001;300004;R
10001;300005;R
10001;300006;R
10001;300007;R
10001;300008;R
10001;300009;R
10001;300010;R
10001;300011;R
10001;300012;R
10001;300013;R
10001;300014;R
10001;300015;R
10001;300016;R
10001;300017;R
10001;300018;R
10001;300019;R
10001;300020;R
10001;300021;R
10001;300022;R
10001;300023;R
10001;300024;R
10001;300025;R
10001;300026;R
10001;300027;R
10001;300028;R
10001;300029;R
10001;300030;R
10001;300031;R
10001;300032;R
10001;300033;R
10001;300034;R
10001;300035;R
10001;300036;R
10001;300037;R
10001;300038;R
10001;300039;R
10001;300040;R
10001;300041;R
10001;300042;R
10001;300043;R
10001;300044;R
10001;300045;R
10001;300046;R
10001;300047;R
10001;300048;R
10001;300049;R
10001;300050;R
10001;300051;R
10001;300052;R
10001;300053;R
10001;300054;R
10001;300055;R
10001;300056;R
10001;300057;R
10001;300058;R
10001;300059;R
10001;300060;R
10001;300061;R
10001;300062;R
10001;300063;R
10001;300064;R
10001;300065;R
10001;300066;R
10001;300067;R
10001;300068;R
10001;300069;R
10001;300070;R
10001;300071;R
10001;300072;R
10001;300073;R
10001;300074;R
10001;300075;R
10001;300076;R
10001;300077;R
10001;300078;R
10001;300079;R
10001;300080;R
10001;300081;R
10001;300082;R
10001;300083;R
10001;300084;R
10001;300085;R
10001;300086;R
10001;300087;R
10001;300088;R
10001;300089;R
10001;300090;R
10001;300091;R
10001;300092;R
10001;300093;R
10001;300094;R
10001;300095;R
10001;300096;R
10001;300097;R
10001;300098;R
10001;300099;R
10001;300100;R
10001;300101;R
10001;300102;R
10001;300103;R
10001;300104;R
10001;300105;R
10001;300106;R
10001;300107;R
10001;300108;R
10001;300109;R
10001;300110;R
10001;300111;R
10001;300112;R
10001;300113;R
10001;300114;R
10001;300115;R
10001;300116;R
10001;300117;R
10001;300118;R
10001;300119;R
10001;300120;R
10001;300121;R
10001;300122;R
10001;300123;R
10001;300124;R
10001;300125;R
10001;300126;R
10001;300127;R
10001;300128;R
10001;300129;R
10001;300130;R
10001;300131;R
10001;300132;R
10001;300133;R
10001;300134;R
10001;300135;R
10001;300136;R
10001;300137;R
10001;300138;R
10001;300139;R
10001;300140;R
10001;300141;R
10001;300142;R
10001;300143;R
10001;300144;R
10001;300145;R
10001;300146;R
10001;300147;R
10001;300148;R
10001;300149;R
10001;300150;R
10001;300151;R
10001;300152;R
10001;300153;R
10001;300154;R
10001;300155;R
10001;300156;R
10001;300157;R
10001;300158;R
10001;300159;R
10001;300160;R
10001;300161;R
10001;300162;R
10001;300163;R
10001;300164;R
10001;300165;R
10001;300166;R
10001;300167;R
10001;300168;R
10001;300169;R
10001;300170;R
10001;300171;R
10001;300172;R
10001;300173;R
10001;300174;R
10001;300175;R
10001;300176;R
10001;300177;R
10001;300178;R
10001;300179;R
10001;300180;R
10001;300181;R
10001;300182;R
10001;300183;R
10001;300184;R
10001;300185;R
10001;300186;R
10001;300187;R
10001;300188;R
10001;300189;R
10001;300190;R
10001;300191;R
10001;300192;R
10001;300193;R
10001;300194;R
10001;300195;R
10001;300196;R
10001;300197;R
10001;300198;R
10001;300199;R
10001;300200;R
10001;300201;R
10001;300202;R
10001;300203;R
10001;300204;R
10001;300205;R
10001;300206;R
10001;300207;R
10001;300208;R
10001;300209;R
10001;300210;R
10001;300211;R
10001;300212;R
10001;300213;R
10001;300214;R
10001;300215;R
